description,alertlevel,alertscore,episodealertscore,country,fromdate,todate,severity (ha),iso3,GDACS ID,People affected,Duration (days),longitude,latitude
Green Forest fires in Australia from: 30 Aug 2023 to: 13 Sep 2023.,Green,1,0.5,Australia,30/08/2023,13/09/2023,36650,AUS,WF 1017036,0,14,128.1739034,-17.26238583
Green Forest fires in Australia from: 28 Aug 2023 to: 11 Sep 2023.,Green,1,0.5,Australia,28/08/2023,11/09/2023,51284,AUS,WF 1017063,0,14,135.5287187,-19.57883097
Green Forest fires in Australia from: 27 Aug 2023 to: 11 Sep 2023.,Green,1,0.5,Australia,27/08/2023,11/09/2023,24623,AUS,WF 1017070,0,15,125.9043407,-16.91322882
Green Forest fires in Australia from: 30 Aug 2023 to: 11 Sep 2023.,Green,1,0.5,Australia,30/08/2023,11/09/2023,12578,AUS,WF 1017034,0,12,133.8160208,-11.79422735
Green Forest fires in Australia from: 30 Aug 2023 to: 10 Sep 2023.,Green,1,0.5,Australia,30/08/2023,10/09/2023,99404,AUS,WF 1017038,1,11,137.8045167,-17.57201018
Green Forest fires in Australia from: 31 Aug 2023 to: 10 Sep 2023.,Green,1,0.5,Australia,31/08/2023,10/09/2023,67048,AUS,WF 1017030,0,10,135.5531928,-19.89077506
Green Forest fires in Australia from: 26 Aug 2023 to: 10 Sep 2023.,Green,1,0.5,Australia,26/08/2023,10/09/2023,12003,AUS,WF 1017148,0,15,130.9699954,-14.34961997
Green Forest fires in Australia from: 28 Aug 2023 to: 09 Sep 2023.,Green,1,0.5,Australia,28/08/2023,9/09/2023,9793,AUS,WF 1017053,0,12,142.0087169,-13.23737318
Green Forest fires in Australia from: 25 Aug 2023 to: 08 Sep 2023.,Green,1,0.5,Australia,25/08/2023,8/09/2023,7772,AUS,WF 1017110,0,14,135.334332,-12.29126294
Green Forest fires in Australia from: 28 Aug 2023 to: 08 Sep 2023.,Green,1,0.5,Australia,28/08/2023,8/09/2023,9442,AUS,WF 1017161,0,11,133.0656727,-11.72565523
Green Forest fires in Australia from: 25 Aug 2023 to: 08 Sep 2023.,Green,1,0.5,Australia,25/08/2023,8/09/2023,6061,AUS,WF 1017162,0,14,133.6336202,-11.99245834
Green Forest fires in Australia from: 27 Aug 2023 to: 08 Sep 2023.,Green,1,0.5,Australia,27/08/2023,8/09/2023,11035,AUS,WF 1017065,0,12,125.3555411,-17.50620291
Green Forest fires in Australia from: 27 Aug 2023 to: 08 Sep 2023.,Green,1,0.5,Australia,27/08/2023,8/09/2023,9141,AUS,WF 1017067,0,12,132.4485136,-11.41705686
Green Forest fires in Australia from: 27 Aug 2023 to: 07 Sep 2023.,Green,1,0.5,Australia,27/08/2023,7/09/2023,7032,AUS,WF 1017109,0,11,133.6841034,-19.20703721
Green Forest fires in Australia from: 30 Aug 2023 to: 07 Sep 2023.,Green,1,0.5,Australia,30/08/2023,7/09/2023,5846,AUS,WF 1017102,0,8,133.0387087,-14.2448818
